ID,substrate,method,GCI,CPV,CV+,CV-,area,time,Fe_valence,Ni,Fe,dopant_Z,dopant_conc,pH,c_KOH,iR,cur_density,overpotential
10.1002/chem.202103601,28,2,,-1.0,,,1.0,300,2,0.15,0.1125,27,0.0375,5.0,1,0.9,10,236.0
10.1002/chem.202103601,28,2,,-1.0,,,1.0,300,2,0.15,0.075,27,0.075,5.0,1,0.9,10,209.0
10.1002/chem.202103601,28,2,,-1.0,,,1.0,300,2,0.15,0.0375,27,0.1125,5.0,1,0.9,10,255.0
10.1016/j.jcis.2024.06.096,6,1,0.25,,,,1.0,425,3,0.09,0.03,16,1.0,2.0,1,0.85,10,244.0
10.1016/j.apcatb.2022.122269,6,1,0.0015,,,,1.5,500,3,0.095,0.005,,,5.0,1,1.0,15,259.8
10.1016/j.apcatb.2022.122269,6,1,0.0015,,,,1.5,500,3,0.097,0.003,,,5.0,1,1.0,15,272.7
10.1016/j.apcatb.2022.122269,6,1,0.0015,,,,1.5,500,3,0.099,0.001,,,5.0,1,1.0,15,281.7
10.19728/j.issn1672-6634.2022050006,6,3,,,-0.2,-1.0,1.0,6400,3,0.0001,0.0001,27,5e-05,3.0,1,0.9,10,285.0
10.1016/j.ijhydene.2023.10.112,28,1,8.0,,,,0.49,120,2,0.05,0.02,24,0.3,2.5,1,0.9,10,234.0
10.20087/j.cnki.1672-8114.2024.02.005,28,2,,-1.0,,,1.0,300,3,0.0216,0.0216,25,0.0216,2.5,1,0.9,20,297.0
10.1016/j.electacta.2017.12.110,28,3,,,-1.2,0.2,1.0,2240,3,0.003,0.003,42,0.0006,3.0,1,0.95,20,230.0
10.1016/j.electacta.2017.12.110,28,3,,,-1.2,0.2,1.0,2240,3,0.003,0.003,42,0.0003,3.0,1,0.95,20,240.0
10.1016/j.electacta.2017.12.110,28,3,,,-1.2,0.2,1.0,2240,3,0.003,0.003,42,0.0009,3.0,1,0.95,20,242.0
10.1016/j.electacta.2017.12.110,28,3,,,-1.2,0.2,1.0,2240,3,0.003,0.003,42,0.0006,3.0,1,0.95,50,251.0
10.1016/j.electacta.2017.12.110,28,3,,,-1.2,0.2,1.0,2240,3,0.003,0.003,42,0.0003,3.0,1,0.95,50,260.0
10.1016/j.electacta.2017.12.110,28,3,,,-1.2,0.2,1.0,2240,3,0.003,0.003,42,0.0012,3.0,1,0.95,20,262.0
10.1016/j.electacta.2017.12.110,28,3,,,-1.2,0.2,1.0,2240,3,0.003,0.003,42,0.0009,3.0,1,0.95,50,266.0
10.1016/j.electacta.2017.12.110,28,3,,,-1.2,0.2,1.0,2240,3,0.003,0.003,42,0.0012,3.0,1,0.95,50,281.0
10.1016/j.electacta.2021.138754,28,1,0.6,,,,1.0,120,2,0.38,0.0192,42,0.083,4.0,6,0.9,10,306.0
10.1016/j.fuel.2024.133302,28,1,0.05,,,,1.0,400,3,0.03,0.015,42,0.02,10.0,1,1.0,10,269.0
10.1016/j.fuel.2024.133302,28,1,0.05,,,,1.0,400,3,0.03,0.02,42,0.02,10.0,1,1.0,10,275.0
10.1016/j.fuel.2024.133302,28,1,0.05,,,,1.0,400,3,0.03,0.012,42,0.02,10.0,1,1.0,10,276.0
10.1039/d4nj00797b,29,1,0.03,,,,1.0,300,2,0.0005,0.0003,,,1.0,1,1.0,10,256.0
10.12034/j.issn.1009-606X.218214,29,1,0.02,,,,1.0,3600,2,0.38,0.09,50,0.0443,4.0,6,0.9,10,261.0
10.1016/j.ijhydene.2020.12.110,29,1,0.04,,,,4.0,600,2,1.0,0.15,,,2.5,1,0.9,10,292.0
10.1016/j.ijhydene.2020.12.110,29,1,0.04,,,,4.0,600,2,1.0,0.2,,,2.5,1,0.9,10,307.0
10.1016/j.ijhydene.2018.05.107,29,1,0.04,,,,1.0,3600,2,0.1065,0.036,15,0.66,8.0,6,0.9,10,309.0
10.1016/j.ijhydene.2020.12.110,29,1,0.04,,,,4.0,600,2,1.0,0.1,,,2.5,1,0.9,10,311.0
10.1039/d4nj00797b,29,1,0.03,,,,1.0,300,2,0.0003,0.0005,,,1.0,1,1.0,10,312.0
10.1016/j.ijhydene.2020.12.110,29,1,0.04,,,,4.0,600,2,1.0,0.05,,,2.5,1,0.9,10,314.0
10.1016/j.ijhydene.2020.12.110,29,1,0.04,,,,4.0,600,2,1.0,0.15,,,2.5,1,0.9,20,318.0
10.1039/d4nj00797b,29,1,0.03,,,,1.0,300,2,0.0007,0.0001,,,1.0,1,1.0,10,321.0
10.1016/j.ijhydene.2020.12.110,29,1,0.04,,,,4.0,600,2,1.0,0.2,,,2.5,1,0.9,20,328.0
10.1016/j.ijhydene.2020.12.110,29,1,0.04,,,,4.0,600,2,1.0,0.1,,,2.5,1,0.9,20,330.0
10.1016/j.ijhydene.2020.12.110,29,1,0.04,,,,4.0,600,2,1.0,0.25,,,2.5,1,0.9,10,330.0
10.1016/j.jallcom.2020.154708,29,2,,-1.3,,,1.0,300,2,0.0375,0.0125,,,2.0,1,0.9,15,330.0
10.1016/j.jelechem.2024.118702,29,2,,-1.0,,,0.03,600,3,0.25,0.05,,,3.0,1,1.0,10,336.0
10.1016/j.ijhydene.2020.10.174,29,1,0.06,,,,1.0,3600,2,0.1,0.01,42,0.02,6.0,1,0.9,10,338.0
10.1016/j.ijhydene.2020.12.110,29,1,0.04,,,,4.0,600,2,1.0,0.05,,,2.5,1,0.9,20,338.0
10.1016/j.ijhydene.2020.10.174,29,1,0.04,,,,1.0,3600,2,0.1,0.006,42,0.02,6.0,1,0.9,10,342.0
10.1016/j.ijhydene.2020.10.174,29,1,0.06,,,,1.0,3600,2,0.1,0.002,42,0.02,6.0,1,0.9,10,343.0
10.1016/j.ijhydene.2020.10.174,29,1,0.06,,,,1.0,3600,2,0.1,0.006,42,0.02,6.0,1,0.9,10,344.0
10.1016/j.ijhydene.2020.10.174,29,1,0.08,,,,1.0,3600,2,0.1,0.006,42,0.02,6.0,1,0.9,10,346.0
10.1016/j.jelechem.2025.118996,28,2,,-1.3,,,1.0,2400,3,0.036,0.024,42,0.0075,2.0,1,0.9,10,220.0
10.1016/j.jelechem.2025.118996,28,2,,-1.3,,,1.0,2400,3,0.036,0.024,42,0.0075,2.0,1,0.9,50,280.0
10.1016/j.ijhydene.2020.10.174,29,1,0.06,,,,1.0,3600,2,0.1,0.018,42,0.02,6.0,1,0.9,10,348.0
10.1016/j.ijhydene.2022.09.200,28,3,,,-0.3,-1.0,1.0,1120,3,0.025,0.025,15,0.25,2.0,1,0.9,50,267.0
10.19728/j.issn1672-6634.2022050006,6,3,,,-0.2,-1.0,1.0,6400,3,0.0001,5e-05,27,5e-05,3.0,1,0.9,10,288.0
10.1016/j.jallcom.2020.154708,29,2,,-1.3,,,1.0,300,2,0.045,0.005,,,2.0,1,0.9,15,350.0
10.1039/c6ta05952j,28,3,,,-1.0,-0.3,1.0,2100,2,0.0375,0.0125,15,0.5,5.5,1,0.9,20,204.0
10.1016/j.ijhydene.2022.09.200,28,3,,,-0.3,-1.0,1.0,1120,3,0.025,0.025,16,0.1,2.0,1,0.9,50,230.0
10.1016/j.ijhydene.2023.08.143,28,2,,-2.0,,,1.0,300,2,0.5,0.5,16,1.0,5.0,1,0.9,10,210.0
10.1016/j.ijhydene.2023.08.143,28,2,,-2.0,,,1.0,300,2,0.5,0.5,16,1.0,5.0,1,0.9,50,238.0
10.1016/j.ijhydene.2023.08.143,28,2,,-2.0,,,1.0,300,2,0.5,0.5,16,1.0,5.0,1,0.9,100,252.0
10.1016/j.jallcom.2021.162533,28,2,,-0.85,,,0.5,900,2,0.02,0.08,16,0.1,5.0,1,0.9,10,258.0
10.1016/j.jallcom.2021.162533,28,2,,-0.85,,,0.5,900,2,0.05,0.05,16,0.1,5.0,1,0.9,10,250.0
